time,voltage,current
34.10,3.7933,1.0018
34.20,3.7934,0.9976
34.30,3.7931,0.9989
34.40,3.7919,1.0049
34.50,3.7926,0.9970
34.60,3.7928,0.9970
34.70,3.7912,1.0011
34.80,3.7919,1.0043
34.90,3.7926,0.9961
35.00,3.7910,1.0028
35.10,3.7919,0.9973
35.20,3.7914,0.9986
35.30,3.7916,0.9976
35.40,3.7901,1.0034
35.50,3.7917,0.9992
35.60,3.7907,1.0021
35.70,3.7892,1.0075
35.80,3.7911,1.0002
35.90,3.7927,0.9869
36.00,3.7892,1.0021
36.10,3.7890,1.0021
36.20,3.7897,1.0005
36.30,3.7897,1.0059
36.40,3.7889,1.0081
36.50,3.7915,0.9904
36.60,3.7916,0.9910
36.70,3.7878,1.0059
36.80,3.7888,1.0024
36.90,3.7888,1.0018
37.00,3.7891,1.0005
37.10,3.7872,1.0109
37.20,3.7911,0.9872
37.30,3.7900,0.9846
37.40,3.7865,1.0065
37.50,3.7881,0.9983
37.60,3.7885,0.9986
37.70,3.7867,1.0040
37.80,3.7878,0.9999
37.90,3.7881,0.9967
38.00,3.7874,1.0018
38.10,3.7861,1.0030
38.20,3.7872,0.9989
38.30,3.7876,0.9980
38.40,3.7846,1.0065
38.50,3.7865,0.9967
38.60,3.7867,1.0005
38.70,3.7853,1.0062
38.80,3.7862,1.0015
38.90,3.7857,1.0005
39.00,3.7870,0.9897
39.10,3.7848,1.0015
39.20,3.7862,1.0005
39.30,3.7864,0.9961
39.40,3.7844,0.9986
39.50,3.7858,0.9983
39.60,3.7857,0.9935
39.70,3.7843,0.9992
39.80,3.7851,0.9992
39.90,3.7857,0.9964
40.00,3.7850,0.9970
40.10,3.7842,1.0002
40.20,3.7850,0.9945
40.30,3.7852,0.9910
40.40,3.7827,0.9993
40.50,3.7841,0.9986
40.60,3.7840,1.0008
40.70,3.7835,0.9999
40.80,3.7834,1.0015
40.90,3.7839,0.9973
41.00,3.7837,0.9938
41.10,3.7828,1.0008
41.20,3.7832,0.9948
41.30,3.7835,0.9973
41.40,3.7817,1.0027
41.50,3.7829,0.9936
41.60,3.7828,0.9897
41.70,3.7828,0.9957
41.80,3.7815,1.0024
41.90,3.7819,0.9916
42.00,3.7824,1.0002
42.10,3.7808,1.0002
42.20,3.7823,0.9964
42.30,3.7827,0.9916
42.40,3.7804,1.0034
42.50,3.7818,0.9967
42.60,3.7816,0.9961
42.70,3.7815,0.9923
42.80,3.7800,0.9992
42.90,3.7809,0.9961
43.00,3.7813,0.9954
43.10,3.7801,1.0008
43.20,3.7811,0.9961
43.30,3.7811,0.9983
43.40,3.7797,0.9996
43.50,3.7808,0.9945
43.60,3.7808,0.9926
43.70,3.7806,0.9912
43.80,3.7788,1.0068
43.90,3.7805,0.9888
44.00,3.7803,0.9945
44.10,3.7790,0.9961
44.20,3.7800,0.9970
44.30,3.7797,0.9967
44.40,3.7783,1.0015
44.50,3.7784,0.9989
44.60,3.7793,0.9897
44.70,3.7791,0.9945
44.80,3.7776,1.0014
44.90,3.7789,0.9973
45.00,3.7789,0.9935
45.10,3.7774,0.9954
45.20,3.7787,0.9967
45.30,3.7788,0.9907
45.40,3.7779,0.9945
45.50,3.7762,1.0072
45.60,3.7775,0.9967
45.70,3.7783,0.9897
45.80,3.7745,1.0088
45.90,3.7754,1.0035
46.00,3.7779,0.9900
46.10,3.7749,1.0084
46.20,3.7757,0.9976
46.30,3.7774,0.9923
46.40,3.7747,1.0034
46.50,3.7727,1.0119
46.60,3.7759,0.9992
46.70,3.7762,0.9954
46.80,3.7749,0.9980
46.90,3.7754,0.9942
47.00,3.7743,1.0053
47.10,3.7723,1.0103
47.20,3.7756,0.9932
47.30,3.7757,0.9986
47.40,3.7746,0.9999
47.50,3.7737,1.0053
47.60,3.7746,0.9957
47.70,3.7751,0.9973
47.80,3.7737,1.0037
47.90,3.7743,1.0005
48.00,3.7747,0.9975
48.10,3.7739,1.0002
48.20,3.7732,1.0034
48.30,3.7749,0.9967
48.40,3.7739,0.9973
48.50,3.7727,1.0046
48.60,3.7737,0.9951
48.70,3.7743,0.9970
48.80,3.7713,1.0030
48.90,3.7729,1.0002
49.00,3.7735,0.9964
49.10,3.7728,0.9975
49.20,3.7674,1.0233
49.30,3.7733,0.9945
49.40,3.7731,0.9935
49.50,3.7720,1.0005
49.60,3.7728,0.9907
49.70,3.7731,0.9923
49.80,3.7689,1.0110
49.90,3.7716,0.9954
50.00,3.7720,0.9996
50.10,3.7705,1.0049
50.20,3.7700,1.0049
50.30,3.7728,0.9929
50.40,3.7721,0.9970
50.50,3.7683,1.0119
50.60,3.7715,0.9973
50.70,3.7728,0.9878
50.80,3.7689,1.0091
50.90,3.7699,1.0027
51.00,3.7721,0.9938
51.10,3.7707,0.9983
51.20,3.7683,1.0119
51.30,3.7712,1.0000
51.40,3.7714,0.9938
51.50,3.7701,1.0015
51.60,3.7717,0.9961
51.70,3.7712,0.9967
51.80,3.7678,1.0084
51.90,3.7693,0.9996
52.00,3.7713,0.9923
52.10,3.7694,0.9970
52.20,3.7670,1.0129
52.30,3.7700,0.9970
52.40,3.7708,0.9898
52.50,3.7678,1.0068
52.60,3.7680,1.0015
52.70,3.7699,0.9973
52.80,3.7703,0.9904
52.90,3.7658,1.0088
53.00,3.7674,1.0059
